, serial stream, parallel stream, active iterator 
1000,23765518,9322120,376191
1250,603109,292602,347008
1563,564837,556239,456240
1954,656912,965647,558014
2442,668854,291547,615066
3052,788602,459879,625322
3815,865127,250005,730503
4769,985966,542458,341533
5961,542929,266415,361048
7451,454251,121648,437070
9314,595207,309983,535131
11642,752694,144111,714984
14552,860900,480877,855198
18190,997364,410781,1033472
22738,1376302,610713,739607
28422,1072472,689216,989837
35528,1251299,429843,1138871
44409,1410024,484337,1732857
55512,2055212,603995,2519599
69389,3285489,818968,2464686
86737,2966138,742377,3398132
108421,4008591,570496,3569494
135526,4554801,1000837,559144
169407,2039732,726602,1028940
211759,3131973,953262,1085749
264698,2867946,1814640,974364
330873,3767985,1846273,998208
413591,4250965,1639627,1828675
516988,4947717,2214728,2283765
646235,6741432,3007613,2397935
807794,7318672,3495254,2963880
1009742,9010998,4249959,3511388
1262178,11349132,5067951,4582622
1577722,14270134,8162564,5586225
1972153,14158780,5458504,7156908
2465191,17722005,19683917,10735715
3081488,24297813,7686413,10348315
3851860,25971352,107894478,11516133
4814825,182591165,259281796,15060631
6018532,40118269,13762379,18178967
7523164,48951131,17298384,23170334

