, serial stream, parallel stream, active iterator 
1000,22298985,2974103,373666
1250,606416,352246,303393
1563,462382,735786,360130
1954,462134,571007,507286
2442,651216,354276,591813
3052,694273,207012,636295
3815,819680,329017,284540
4769,557067,247722,292898
5961,364655,344486,338211
7451,412839,385934,349227
9314,447099,167492,302232
11642,379006,149344,680931
14552,818063,163633,508993
18190,701380,241278,926162
22738,1092095,231614,758281
28422,1006943,319046,1128671
35528,1408429,259598,1308611
44409,1641242,352009,1423099
55512,1986807,1085850,1945090
69389,2501265,515827,2595638
86737,3086611,948286,3400284
108421,4619568,862269,4170203
135526,4962742,1101581,398583
169407,1910306,728968,572796
211759,2779720,936946,730243
264698,2261750,2169555,889563
330873,3569110,1380424,1423199
413591,4519649,1993604,1339489
516988,4857837,2589221,2137991
646235,6742967,2923535,2391440
807794,7273270,3334566,2905122
1009742,8921816,4088340,3494905
1262178,11034294,4876323,4277252
1577722,13902391,7751669,5778143
1972153,18380189,15389770,6322631
2465191,22309307,19581028,8165327
3081488,29235378,24535146,10970877
3851860,35183411,29591031,11883031
4814825,42050813,37192194,14828852
6018532,52950869,286114089,20806141
7523164,68021895,57616931,23800643

